server_0,server_1,server_2
69219851,72941423,65182691
69290607,73012179,65253446
69362099,73083671,65324939
69434161,73155732,65397000
69506466,73228037,65469305
69580934,73302505,65543773
69649619,73371191,65612459
69723785,73445357,65686624
69799476,73521048,65762316
69869593,73591165,65832433
69938736,73660308,65901575
70012703,73734275,65975543
70082962,73804534,66045801
70156865,73878437,66119705
70230246,73951818,66193085
70301461,74023033,66264300
70376597,74098168,66339436
70450891,74172462,66413730
70524074,74245646,66486913
70592755,74314327,66555595
70657453,74379025,66620292
70727745,74449317,66690584
70801741,74523313,66764580
70872420,74593992,66835259
70945513,74667084,66908352
71011493,74733065,66974333
71083358,74804929,67046197
71152981,74874553,67115820
71221746,74943318,67184585
71296186,75017758,67259025
71367958,75089529,67330797
71433396,75154968,67396235
71504647,75226219,67467486
71572480,75294052,67535319
71645005,75366576,67607844
71716053,75437625,67678892
71787330,75508902,67750170
71853944,75575516,67816783
71919928,75641500,67882767
71991992,75713563,67954831
72062327,75783899,68025167
72133556,75855128,68096395
72201337,75922908,68164176
72268903,75990475,68231742
72331738,76053309,68294577
72398776,76120348,68361615
72473420,76194991,68436259
72544560,76266132,68507399
72617209,76338780,68580048
72690642,76412214,68653481
72765584,76487155,68728423
72835177,76556749,68798016
72902172,76623744,68865012
72971165,76692736,68934004
73043947,76765519,69006786
73112149,76833721,69074989
73174745,76896316,69137584
73246566,76968138,69209406
73319146,77040718,69281985
73389901,77111473,69352740
73456530,77178102,69419369
73528281,77249853,69491120
73594347,77315918,69557186
73663716,77385287,69626555
73734018,77455590,69696857
73802130,77523702,69764970
73872002,77593574,69834842
73946208,77667780,69909048
74009801,77731372,69972640
74081623,77803195,70044463
74153526,77875097,70116365
74226382,77947953,70189221
74293281,78014853,70256120
74365804,78087376,70328644
74436060,78157632,70398900
74511120,78232692,70473959
74583278,78304849,70546117
74654998,78376570,70617837
74729760,78451332,70692599
74802479,78524051,70765318
74871593,78593165,70834433
74942526,78664097,70905365
75009115,78730687,70971954
75079590,78801162,71042429
75147389,78868961,71110228
75215420,78936992,71178259
75285663,79007235,71248503
75349951,79071523,71312791
75423907,79145479,71386746
75493905,79215476,71456744
75568581,79290153,71531421
75645884,79367456,71608724
75719255,79440827,71682095
75790229,79511801,71753069
75862634,79584206,71825474
75934886,79656458,71897725
76003775,79725347,71966615
76073117,79794689,72035957
76145845,79867417,72108684
76214068,79935640,72176907
76287472,80009044,72250312
76358775,80080347,72321615
76425296,80146867,72388135
76492898,80214470,72455738
76563132,80284704,72525972
76629996,80351568,72592836
76701722,80423294,72664562
76774274,80495845,72737113
76842985,80564557,72805825
76914231,80635802,72877070
76981244,80702815,72944083
77051965,80773537,73014805
77121622,80843193,73084461
77195263,80916835,73158102
77266061,80987632,73228900
77337977,81059549,73300817
77407855,81129427,73370695
77479152,81200724,73441992
77548581,81270152,73511420
77620385,81341956,73583224
77691373,81412944,73654212
77759657,81481228,73722496
77828529,81550100,73791368
77901642,81623213,73864481
77972742,81694314,73935582
78036373,81757945,73999212
78107024,81828596,74069864
78180033,81901605,74142872
78241706,81963278,74204546
78312310,82033882,74275150
78383227,82104799,74346067
78452623,82174194,74415462
78527986,82249558,74490825
78602413,82323984,74565252
78672335,82393907,74635174
78746703,82468274,74709542
78824173,82545745,74787012
78896582,82618154,74859421
78967787,82689359,74930626
79040456,82762028,75003296
79105897,82827469,75068737
79176644,82898215,75139483
79247657,82969229,75210496
79320005,83041577,75282844
79394082,83115653,75356921
79463857,83185429,75426697
79537549,83259121,75500388
79610426,83331997,75573265
79683950,83405521,75646789
79753753,83475325,75716592
79828590,83550161,75791429
79902097,83623669,75864936
79972918,83694490,75935758
80039614,83761185,76002453
80109925,83831496,76072764
80180061,83901633,76142900
80249051,83970622,76211890
80319979,84041551,76282819
80393571,84115142,76356410
80467258,84188829,76430097
80536986,84258557,76499825
80606950,84328522,76569789
80677088,84398659,76639927
80746641,84468213,76709480
80821170,84542742,76784009
80893468,84615039,76856307
80966763,84688335,76929603
81036109,84757681,76998949
81108433,84830004,77071272
81178543,84900115,77141382
81251397,84972969,77214236
81321910,85043482,77284750
81389717,85111289,77352557
81461885,85183457,77424725
81534949,85256521,77497789
81606063,85327634,77568902
